,words,weight,yes,no
1104,expedient,5,1,2
1105,expiation,5,1,2
1106,exploit,1,1,1
1107,expostulate,1,1,1
1108,expurgate,1,1,1
1109,exscind,1,1,1
1110,extempore,0,2,1
1111,extenuate,5,1,2
1112,extinct,0,2,1
1113,extinguish,-1,3,1
1114,extol,5,8,3
1115,extort,0,2,1
1116,extralegal,12,1,3
1117,extricable,5,1,2
1118,extrovert,0,2,1
1119,exuberance,1,1,1
1120,facetious,1,1,1
1121,fallacious,1,1,1
1122,falter,0,2,1
1123,fawn,0,2,1
1124,feint,1,1,1
1125,felicitous,1,1,1
1126,felon,1,1,1
1127,ferment,11,2,3
1128,ferocity,1,1,1
1129,ferret,1,1,1
1130,fervor,-1,3,1
1131,fetter,0,2,1
1132,feud,-1,3,1
1133,fidget,0,2,1
1134,figurehead,11,2,3
1135,finesse,0,2,1
1136,finical,1,1,1
1137,finicky,5,1,2
1138,fission,1,1,1
1139,fixate,1,1,1
1140,flak,1,1,1
1141,flamboyant,1,1,1
1142,flaunting,-1,3,1
1143,flax,5,1,2
1144,fledged,5,1,2
1145,fleet,1,1,1
1146,flinch,1,1,1
1147,flop,-1,3,1
1148,flout,0,2,1
1149,fluke,1,1,1
1150,fluster,1,1,1
1151,foil,1,1,1
1152,foolproof,0,2,1
1153,foppish,1,1,1
1154,forage,0,2,1
1155,forbear,12,1,3
1156,ford,4,2,2
1157,forfeit,1,1,1
1158,forge,1,1,1
1159,forgery,1,1,1
1160,forswear,1,1,1
1161,foster,0,2,1
1162,fragile,1,1,1
1163,fragrant,1,1,1
1164,frantic,-1,3,1
1165,fret,0,2,1
1166,fringe,1,1,1
1167,froward,5,1,2
1168,frugal,0,2,1
1169,fulmination,5,1,2
1170,garble,1,1,1
1171,garment,1,1,1
1172,garner,0,2,1
1173,garrulity,1,1,1
1174,gaucherie,1,1,1
1175,germane,5,1,2
1176,gist,0,2,1
1177,glean,0,2,1
1178,glib,5,1,2
1179,glimmer,5,1,2
1180,gloat,1,1,1
1181,gnaw,1,1,1
1182,goad,11,2,3
1183,gorge,1,1,1
1184,gossamer,5,1,2
1185,gouge,1,1,1
1186,grave,0,2,1
1187,graze,1,1,1
1188,grievous,1,1,1
1189,grovel,22,1,4
1190,guile,-1,3,1
1191,gullible,-2,4,1
1192,gush,1,1,1
1193,gust,0,2,1
1194,hack,0,2,1
1195,hallow,5,1,2
1196,harbinger,1,1,1
1197,harrow,1,1,1
1198,haughty,1,1,1
1199,heed,1,1,1
1200,heinous,0,2,1
1201,heresy,12,1,3
1202,hermetic,1,1,1
1203,heterogeneous,1,1,1
1204,hew,158,19,11
1205,highbrow,1,1,1
1206,hirsute,12,1,3
1207,hoax,1,1,1
1208,hoi,0,2,1
1209,hollow,1,1,1
1210,holster,0,2,1
1211,homiletics,1,1,1
1212,hone,1,1,1
1213,hoodwink,1,1,1
1214,hospitable,0,2,1
1215,hubris,1,1,1
1216,hush,1,1,1
1217,husk,12,1,3
1218,hypocrisy,-1,3,1
1219,idiosyncrasy,0,2,1
1220,idolatry,1,1,1
1221,idyll,5,1,2
1222,ignoble,1,1,1
1223,immaculate,0,2,1
1224,imminent,-1,3,1
1225,immutable,0,2,1
1226,impair,0,2,1
1227,impending,1,1,1
1228,imperative,-1,3,1
1229,imperious,1,1,1
1230,impermeable,1,1,1
1231,imperviousness,4,2,2
1232,impiety,1,1,1
1233,implacable,1,1,1
1234,implicate,1,1,1
1235,implicit,1,1,1
1236,implosion,5,1,2
1237,importune,0,2,1
1238,impromptu,1,1,1
1239,impudent,0,2,1
1240,impugned,0,2,1
1241,impute,1,1,1
1242,inadvertent,0,2,1
1243,inane,1,1,1
1244,inasmuch,5,1,2
1245,incense,1,1,1
1246,incessant,1,1,1
1247,incipient,5,1,2
1248,incise,1,1,1
1249,incite,1,1,1
1250,inclined,-1,3,1
1251,incongruous,1,1,1
1252,incorrigibility,0,2,1
1253,incredulous,0,2,1
1254,inculcate,0,2,1
1255,incumbents,1,1,1
1256,indefatigability,12,1,3
1257,indistinct,1,1,1
1258,indolence,1,1,1
1259,indomitable,1,1,1
1260,indulge,1,1,1
1261,indulgent,1,1,1
1262,ineffable,5,1,2
1263,inept,1,1,1
1264,ineptitude,0,2,1
1265,inferno,-1,3,1
1266,infuriate,1,1,1
1267,infuse,1,1,1
1268,ingest,0,2,1
1269,inimitable,4,2,2
1270,innocuous,-1,3,1
1271,insensible,0,2,1
1272,insinuate,0,2,1
1273,insurrection,12,1,3
1274,interim,0,2,1
1275,intersperse,1,1,1
1276,intransigent,5,1,2
1277,introspection,-1,3,1
1278,inundate,0,2,1
1279,inveterate,5,1,2
1280,invincible,0,2,1
1281,involute,1,1,1
1282,irate,3,3,2
1283,ire,0,2,1
1284,irksome,-1,3,1
1285,irrevocable,0,2,1
1286,itinerate,1,1,1
1287,jabber,1,1,1
1288,judicious,-1,3,1
1289,knit,-1,3,1
1290,labyrinthine,0,2,1
1291,lachrymose,-1,3,1
1292,lackluster,-1,3,1
1293,lament,1,1,1
1294,latent,0,2,1
1295,laudatory,-1,3,1
1296,lavish,1,1,1
1297,legacy,1,1,1
1298,levee,1,1,1
1299,libel,1,1,1
1300,liberality,1,1,1
1301,lien,1,1,1
1302,limn,22,1,4
1303,limp,-1,3,1
1304,lionize,0,2,1
1305,lithe,1,1,1
1306,loll,5,1,2
1307,lope,12,1,3
1308,lucubrate,5,1,2
1309,luculent,1,1,1
1310,lugubrious,0,2,1
1311,lull,4,2,2
1312,lumber,1,1,1
1313,luminary,1,1,1
1314,lurk,1,1,1
1315,lustrous,-1,3,1
1316,macerate,12,1,3
1317,machination,1,1,1
1318,malevolence,1,1,1
1319,malign,1,1,1
1320,malleable,0,2,1
1321,manacle,1,1,1
1322,massacre,0,2,1
1323,matriculation,1,1,1
1324,maul,1,1,1
1325,maverick,0,2,1
1326,mendacity,1,1,1
1327,mesmerize,0,2,1
1328,meticulous,-1,3,1
1329,mettle,1,1,1
1330,mettlesome,1,1,1
1331,middling,5,1,2
1332,minatory,5,1,2
1333,mince,1,1,1
1334,mischievous,0,2,1
1335,miser,-1,3,1
1336,misogynist,0,2,1
1337,moderation,0,2,1
1338,molt,12,1,3
1339,morbid,1,1,1
1340,morose,1,1,1
1341,muffler,5,1,2
1342,mundane,0,2,1
1343,myriad,0,2,1
1344,negligent,1,1,1
1345,nexus,1,1,1
1346,nibble,1,1,1
1347,noisome,4,2,2
1348,nonchalant,0,2,1
1349,nonplussed,0,2,1
1350,nostrum,1,1,1
1351,obfuscate,5,1,2
1352,oblivious,1,1,1
1353,obloquy,1,1,1
1354,obstreperous,5,1,2
1355,obtain,0,2,1
1356,obtrusive,1,1,1
1357,occluded,1,1,1
1358,odious,0,2,1
1359,odium,1,1,1
1360,odor,-2,4,1
1361,ominous,0,2,1
1362,opaqueness,1,1,1
1363,opprobrious,0,2,1
1364,ossify,0,2,1
1365,ostentation,0,2,1
1366,ostracism,-1,3,1
1367,overhaul,0,2,1
1368,paean,0,2,1
1369,palate,12,1,3
1370,palatial,12,1,3
1371,palliate,5,1,2
1372,palpability,1,1,1
1373,palpitate,5,1,2
1374,paradigm,1,1,1
1375,parenthesis,1,1,1
1376,pariah,5,1,2
1377,partisan,5,1,2
1378,peccadillo,-1,3,1
1379,pedantic,4,2,2
1380,pedestrian,0,2,1
1381,pellucid,1,1,1
1382,penchant,1,1,1
1383,penitent,1,1,1
1384,penurious,12,1,3
1385,peregrination,1,1,1
1386,perfidy,12,1,3
1387,perilous,1,1,1
1388,peripatetic,1,1,1
1389,perish,1,1,1
1390,perjury,1,1,1
1391,permeate,-1,3,1
1392,pernicious,5,1,2
1393,perpetrate,1,1,1
1394,perspicacity,-1,3,1
1395,pertain,1,1,1
1396,pest,-2,4,1
1397,petrified,1,1,1
1398,petrify,0,2,1
1399,petrous,1,1,1
1400,philistine,1,1,1
1401,picaresque,1,1,1
1402,pied,12,1,3
1403,pinch,0,2,1
1404,pine,1,1,1
1405,pious,-1,3,1
1406,pitfall,1,1,1
1407,pith,-1,3,1
1408,pivotal,-1,3,1
1409,plaintive,1,1,1
1410,plaque,0,2,1
1411,plea,0,2,1
1412,plead,0,2,1
1413,plethora,0,2,1
1414,pliant,5,1,2
1415,plod,0,2,1
1416,pluck,0,2,1
1417,plumb,1,1,1
1418,plummet,-1,3,1
1419,plunge,0,2,1
1420,poncho,1,1,1
1421,portent,1,1,1
1422,precepts,1,1,1
1423,preclude,0,2,1
1424,precursory,5,1,2
1425,predominate,0,2,1
1426,preen,5,1,2
1427,premature,1,1,1
1428,preponderance,12,11,4
1429,presumption,1,1,1
1430,prevalent,1,1,1
1431,pristine,-2,4,1
1432,procrastination,1,1,1
1433,prodigal,-2,4,1
1434,prodigious,1,1,1
1435,profane,1,1,1
1436,profligacy,-1,3,1
1437,profundity,1,1,1
1438,profuse,1,1,1
1439,proliferate,1,1,1
1440,prolix,1,1,1
1441,prone,-1,3,1
1442,propagation,1,1,1
1443,propinquity,12,1,3
1444,propitiatory,5,1,2
1445,propitious,1,1,1
1446,protracted,1,1,1
1447,provident,0,2,1
1448,provisional,1,1,1
1449,provoke,1,1,1
1450,prudence,5,1,2
1451,prune,0,2,1
1452,pry,1,1,1
1453,pucker,12,1,3
1454,puissance,1,1,1
1455,pundit,0,2,1
1456,pungency,-1,3,1
1457,purvey,1,1,1
1458,putrefaction,0,2,1
1459,pyre,1,1,1
1460,quack,1,1,1
1461,quaff,12,1,3
1462,qualm,1,1,1
1463,quandary,0,2,1
1464,quell,1,1,1
1465,quibble,12,1,3
1466,quiescence,4,2,2
1467,quirk,1,1,1
1468,rabble,1,1,1
1469,raffish,1,1,1
1470,ramify,1,1,1
1471,rant,1,1,1
1472,rapacious,1,1,1
1473,rave,1,1,1
1474,reactionary,1,1,1
1475,rebuff,5,8,3
1476,recast,1,1,1
1477,recidivism,5,1,2
1478,reciprocity,0,2,1
1479,recitals,1,1,1
1480,recluse,5,1,2
1481,recompense,1,1,1
1482,reconcile,1,1,1
1483,recreancy,12,1,3
1484,recuperate,5,1,2
1485,redeem,0,2,1
1486,redoubtable,1,1,1
1487,refine,0,2,1
1488,regale,1,1,1
1489,regicide,5,1,2
1490,reiterate,1,1,1
1491,rejuvenation,0,2,1
1492,relapse,0,2,1
1493,remonstrate,0,2,1
1494,render,0,2,1
1495,renovate,0,2,1
1496,renowned,1,1,1
1497,repast,11,2,3
1498,repel,1,1,1
1499,repudiate,1,1,1
1500,repulsive,1,1,1
1501,resigned,0,2,1
1502,resilience,1,1,1
1503,resort,1,1,1
1504,restive,5,1,2
1505,resuscitation,1,1,1
1506,retard,1,1,1
1507,revere,0,2,1
1508,riddle,-1,3,1
1509,rift,1,1,1
1510,rivet,4,2,2
1511,roll,1,1,1
1512,rotund,1,1,1
1513,ruffian,5,1,2
1514,rumple,5,1,2
1515,sagacious,0,2,1
1516,salutary,5,1,2
1517,sanctimony,-1,3,1
1518,sanction,0,2,1
1519,sanity,0,2,1
1520,sash,1,1,1
1521,satiate,0,2,1
1522,savant,1,1,1
1523,savor,0,2,1
1524,sawdust,1,1,1
1525,scabbard,4,2,2
1526,scent,-2,4,1
1527,scorch,1,1,1
1528,scribble,1,1,1
1529,scurvy,1,1,1
1530,secular,-1,3,1
1531,sententious,5,1,2
1532,sequence,-1,3,1
1533,sere,22,1,4
1534,sermon,5,1,2
1535,serrated,5,8,3
1536,serration,1,1,1
1537,sever,0,2,1
1538,severance,5,1,2
1539,shallow,1,1,1
1540,shard,0,2,1
1541,sheath,0,2,1
1542,shrewd,1,1,1
1543,shrill,1,1,1
1544,shun,1,1,1
1545,shunt,1,1,1
1546,sidestep,1,1,1
1547,simper,5,1,2
1548,sinuous,5,1,2
1549,skiff,5,1,2
1550,skit,4,2,2
1551,slack,0,2,1
1552,slake,0,2,1
1553,slate,1,1,1
1554,sluggard,5,1,2
1555,slur,1,1,1
1556,smolder,1,1,1
1557,snare,5,1,2
1558,snub,-1,3,1
1559,soar,0,2,1
1560,sober,1,1,1
1561,soggy,1,1,1
1562,soot,-1,3,1
1563,sophisticated,1,1,1
1564,sophistry,5,1,2
1565,spear,1,1,1
1566,splenetic,1,1,1
1567,splice,1,1,1
1568,sponge,3,3,2
1569,spurn,1,1,1
1570,squander,-1,3,1
1571,squat,0,2,1
1572,stanch,12,1,3
1573,steeply,0,2,1
1574,stickler,1,1,1
1575,stigma,0,2,1
1576,stigmatize,0,2,1
1577,sting,0,2,1
1578,stingy,1,1,1
1579,stint,0,2,1
1580,stipple,1,1,1
1581,stipulate,1,1,1
1582,stray,1,1,1
1583,streak,0,2,1
1584,striated,1,1,1
1585,stride,1,1,1
1586,stymie,1,1,1
1587,subdue,1,1,1
1588,sublime,1,1,1
1589,submerge,4,2,2
1590,suborn,5,1,2
1591,subpoena,1,1,1
1592,substantiation,1,1,1
1593,suffice,-1,3,1
1594,suffocate,-1,3,1
1595,sullied,1,1,1
1596,summarily,1,1,1
1597,sumptuous,5,1,2
1598,superfluous,1,1,1
1599,superimpose,-1,3,1
1600,supersede,1,1,1
1601,supine,1,1,1
1602,supplicate,0,2,1
1603,suppress,1,1,1
1604,surcharge,4,2,2
1605,surfeit,1,1,1
1606,susceptibility,0,2,1
1607,swerve,1,1,1
1608,synopsis,0,2,1
1609,tadpole,-1,3,1
1610,talon,5,1,2
1611,tamp,5,1,2
1612,tamper,0,2,1
1613,tangential,-1,3,1
1614,tarnished,0,2,1
1615,tassel,1,1,1
1616,taunt,-2,4,1
1617,taut,1,1,1
1618,tautology,5,1,2
1619,tawdry,1,1,1
1620,teetotal,1,1,1
1621,temerity,1,1,1
1622,temperance,1,1,1
1623,temperate,1,1,1
1624,terse,1,1,1
1625,testiness,1,1,1
1626,thrift,1,1,1
1627,thwart,1,1,1
1628,timid,-1,3,1
1629,tonic,0,2,1
1630,topple,1,1,1
1631,torment,0,2,1
1632,torque,0,2,1
1633,tout,1,1,1
1634,transgress,1,1,1
1635,transient,-1,3,1
1636,trenchant,12,1,3
1637,trickle,1,1,1
1638,trifling,5,1,2
1639,truce,1,1,1
1640,trudge,5,1,2
1641,turbulence,1,1,1
1642,turmoil,1,1,1
1643,turpitude,12,1,3
1644,turquoise,5,1,2
1645,ulterior,-1,3,1
1646,umbrage,1,1,1
1647,underbid,1,1,1
1648,undulate,0,2,1
1649,unearth,0,2,1
1650,unencumbered,1,1,1
1651,unfeigned,0,2,1
1652,unscathed,0,2,1
1653,untoward,1,1,1
1654,upbraid,1,1,1
1655,vacillation,1,1,1
1656,vagary,12,1,3
1657,vain,0,2,1
1658,valiant,1,1,1
1659,valorous,1,1,1
1660,vanquish,1,1,1
1661,veer,1,1,1
1662,veneer,1,1,1
1663,veneration,1,1,1
1664,verisimilitude,1,1,1
1665,veritable,0,2,1
1666,verve,1,1,1
1667,vestige,12,1,3
1668,vex,1,1,1
1669,vigilance,1,1,1
1670,vigilant,1,1,1
1671,vigorous,1,1,1
1672,vilify,1,1,1
1673,virago,1,1,1
1674,visceral,1,1,1
1675,viscous,1,1,1
1676,vituperate,0,2,1
1677,volatile,1,1,1
1678,volubility,-2,4,1
1679,waffle,1,1,1
1680,waft,4,2,2
1681,warmonger,1,1,1
1682,warrant,1,1,1
1683,wean,1,1,1
1684,weigh,0,2,1
1685,welter,1,1,1
1686,wend,1,1,1
1687,wince,1,1,1
1688,woo,0,2,1
1689,writ,5,1,2
1690,yarn,1,1,1
